	GSM1389613	GSM1389614	GSM1389615	GSM1389616	GSM1389617	GSM1389618	GSM1389619	GSM1389620
ZNF331	7.49516707410566	7.32132359534809	7.22227694332232	7.127965323455	7.02030337197746	7.55741734776404	7.34202669372631	7.30231302865521
SIRPG	5.85561323679825	5.90817847110185	6.09415055201696	5.98493902422776	6.19222327306346	5.09908346456329	5.10929405688472	5.31012931368417
GPALPP1	6.5401687434862	6.50648008117497	6.56811411682446	6.46567331754678	6.47932280729618	6.36903295161655	6.31066954638683	6.33617167840691
PRB1	6.82585471060962	6.73193564282571	6.84042734781409	6.64786963661052	6.71535126974138	6.3226543569603	6.15911507251069	6.28337102915847
YOD1	5.54650765519495	5.52654410287958	5.65874329968953	5.52699488689078	5.65559973476408	4.94809010626656	4.85276337813148	5.04649467763681
AP1AR	7.10868890372797	7.19858481661839	7.30979121016037	7.26494483687256	7.37460168198908	6.91224844032206	7.06366325952917	6.97395302383013
PRB3	6.24724926755796	6.25897808816097	6.31981183896531	6.27882190984877	6.32999126172929	6.06555618327953	6.08016096520462	6.10215269901539
CAMK2N1	6.70670698112325	6.77607200120383	6.39667853341306	6.83472238253925	6.57986478650966	8.02745218560453	8.39054389777785	7.8529847181189
CSGALNACT2	7.98253252756272	8.19627042577515	7.95868997152763	7.79499843259407	7.98565410435679	7.04049695944377	6.07056333727322	6.92308344139439
PRB4	6.59513997874843	6.57070306838101	6.66346583913428	6.55737103520319	6.61061682179637	6.34222518959819	6.30820283341107	6.33272207092762
PRCC	6.60744272821216	6.55391269621637	6.52152529362832	6.5196040881352	6.52363835927185	6.48758355886238	6.45835262718201	6.45238540429252
NDUFAF7	6.30883365023546	6.22718304003245	6.32113165826616	6.18152767878319	6.29847442461015	5.62560477916433	5.46778719844453	5.68388598329599
RBM12B-AS1	5.81226859823988	5.72633225159803	5.83152152486756	5.66864559645309	5.7529212678247	5.264665351557	5.07533472881929	5.27945501672461
PRCP	6.16344523079791	6.67754215614887	6.35664050694843	6.99475718396989	6.45854461300809	9.61919022181026	10.6866096720783	9.32811536623254
PARL	8.7749082915453	8.91631541489421	8.79695225221317	8.9311909631905	8.77868987224273	9.83529602574446	10.0951409635857	9.61766196903463
PRELP	6.53239569355733	6.57871127495315	6.4756145557101	6.58490743915383	6.42805122876426	7.28510046121617	7.44099366653698	7.14378392701486
AVPR2	6.17007534075977	6.12424913889474	6.20496325403652	6.09174528028461	6.15331263978226	5.79152923521476	5.68607644547075	5.81025640184158
ETNK1	8.05633692696176	8.09097727468824	8.00493200316808	8.34852077549901	7.64472959612509	7.15142742772474	7.33697672763195	7.3523134208182
CHST12	7.41331404509513	7.48505575529879	7.47638866893017	7.47296572526338	7.29671410631682	8.33771397214643	8.52808838642688	8.10100243948753
TRPV6	5.99693092977299	6.00731445116692	5.98885262197776	6.00884940483292	5.99716032201506	6.03998102838564	6.06903246874736	6.0390556645902
NOP10	9.04471705561435	9.12526242340349	9.3494008938582	9.19711239706864	9.10510798521798	10.1675915715288	10.3733064377442	9.51805420782765
H2AFY2	6.82536397092452	6.99304282618342	6.86057457481762	7.10949922250602	6.94639983601539	7.95293143171445	8.37151293810294	7.84545280510065
GPRC5D	6.57714724902911	6.52297657927761	6.57064308212726	6.48280238821783	6.49859256058655	6.41169446018201	6.33866064447972	6.36263472253591
SLC35E3	7.76921175087049	7.86307202313837	7.76804100965616	7.88731848929196	7.74679946224248	8.66437925015172	8.92571905951757	8.46877351171054
BATF3	6.47852385951472	6.52830950001812	6.50903962649263	6.58061226494429	6.57180886491843	6.67786833431654	6.81920902576206	6.67297614921558
PREP	7.47002242166326	7.54026340849139	7.58886235381227	7.56715098514197	7.59287280497119	7.56646737904055	7.71109751566883	7.53067069950705
DDX43	6.32350909998586	5.64797492201705	6.19070075139785	5.87612282631765	5.77283974760352	4.96311692589176	4.61789307845521	4.96708027348042
SAGE1	5.43253784051593	5.40106430771516	5.53775725846802	5.39661670989528	5.54443435483597	4.71801581656519	4.59890645966349	4.83414087417877
