ID	Symbol	SPOT_ID	ENTREZ_GENE_ID
100507656_at	LOC100507656	uncharacterized LOC100507656	100507656
10051_at	SMC4	structural maintenance of chromosomes 4	10051
100526820_at	CAHM	colon adenocarcinoma hypermethylated (non-protein coding)	100526820
100528062_at	ARMCX5-GPRASP2	ARMCX5-GPRASP2 readthrough	100528062
10053_at	AP1M2	adaptor related protein complex 1 mu 2 subunit	10053
10054_at	UBA2	ubiquitin like modifier activating enzyme 2	10054
10055_at	SAE1	SUMO1 activating enzyme subunit 1	10055
10056_at	FARSB	phenylalanyl-tRNA synthetase beta subunit	10056
10057_at	ABCC5	ATP binding cassette subfamily C member 5	10057
10058_at	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058
10059_at	DNM1L	dynamin 1-like	10059
10061_at	ABCF2	ATP binding cassette subfamily F member 2	10061
100616668_at	TPTE2P5	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5	100616668
10062_at	NR1H3	nuclear receptor subfamily 1 group H member 3	10062
100628315_at	DNM3OS	DNM3 opposite strand/antisense RNA	100628315
100630918_at	PARTICL	promoter of MAT2A antisense radiation-induced circulating long non-coding RNA	100630918
100652768_at	LOC100652768	uncharacterized LOC100652768	100652768
100652772_at	NNT-AS1	NNT antisense RNA 1	100652772
100653233_at	LOC100653233	uncharacterized LOC100653233	100653233
10066_at	SCAMP2	secretory carrier membrane protein 2	10066
10067_at	SCAMP3	secretory carrier membrane protein 3	10067
10068_at	IL18BP	interleukin 18 binding protein	10068
10069_at	RWDD2B	RWD domain containing 2B	10069
10072_at	DPP3	dipeptidyl peptidase 3	10072
10073_at	SNUPN	snurportin 1	10073
10075_at	HUWE1	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"	10075
10076_at	PTPRU	"protein tyrosine phosphatase, receptor type U"	10076
10078_at	TSSC4	tumor suppressing subtransferable candidate 4	10078
10079_at	ATP9A	ATPase phospholipid transporting 9A (putative)	10079
1008_at	CDH10	cadherin 10	1008
10081_at	PDCD7	programmed cell death 7	10081
10082_at	GPC6	glypican 6	10082
100820829_at	MYZAP	myocardial zonula adherens protein	100820829
10083_at	USH1C	USH1 protein network component harmonin	10083
10084_at	PQBP1	polyglutamine binding protein 1	10084
10085_at	EDIL3	EGF like repeats and discoidin domains 3	10085
100859930_at	HEIH	hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA	100859930
100861541_at	DOCK9-AS2	DOCK9 antisense RNA 2 (head to head)	100861541
100862671_at	TMEM265	transmembrane protein 265	100862671
10087_at	COL4A3BP	collagen type IV alpha 3 binding protein	10087
100874182_at	LINC00424	long intergenic non-protein coding RNA 424	100874182
1009_at	CDH11	cadherin 11	1009
10092_at	ARPC5	actin related protein 2/3 complex subunit 5	10092
10093_at	ARPC4	actin related protein 2/3 complex subunit 4	10093
10095_at	ARPC1B	actin related protein 2/3 complex subunit 1B	10095
10096_at	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	10096
10097_at	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	10097
10098_at	TSPAN5	tetraspanin 5	10098
10099_at	TSPAN3	tetraspanin 3	10099
100996246_at	LOC100996246	uncharacterized LOC100996246	100996246
100996286_at	LOC100996286	uncharacterized LOC100996286	100996286
100996290_at	LOC100996290	uncharacterized LOC100996290	100996290
100996301_at	FOXD3-AS1	FOXD3 antisense RNA 1 (head to head)	100996301
100996342_at	LOC100996342	uncharacterized LOC100996342	100996342
100996425_at	PRCAT47	prostate cancer-associated 47	100996425
100996457_at	LOC100996457	uncharacterized LOC100996457	100996457
100996485_at	C5orf66	chromosome 5 open reading frame 66	100996485
100996702_at	LINC01356	long intergenic non-protein coding RNA 1356	100996702
