	GSM2810793	GSM2810794	GSM2810795	GSM2810796	GSM2810797	GSM2810798	GSM2810799	GSM2810800	GSM2810801	GSM2810802	GSM2810803	GSM2810804	GSM2810805	GSM2810806	GSM2810807	GSM2810808	GSM2810809	GSM2810810	GSM2810816	GSM2810817	GSM2810818	GSM2810819	GSM2810820	GSM2810821	GSM2810822	GSM2810823	GSM2810824	GSM2810825	GSM2810826	GSM2810827	GSM2810828	GSM2810829	GSM2810830	GSM2810831	GSM2810832	GSM2810833	GSM2810834	GSM2810835	GSM2810836	GSM2810837
CLUHP3	7.09065776985992	6.87886993276833	7.14772662788946	6.72217849308846	7.1334353874748	7.37259262445211	6.94787189034085	6.97266014972721	7.31998341543975	7.06814243392396	7.34186833390631	7.08720635680486	6.86396641145553	7.09567648915126	7.08802595636509	7.21896365028797	6.98672941522197	6.98469487544997	6.52764859677848	6.59673892525885	6.74392817458603	6.78558463981652	6.90029022251404	6.43523607388266	6.58908714888666	6.45058941206503	6.62896098742798	6.58256522366533	6.84273280217116	7.26696956514496	7.33243104831965	6.46052776751912	6.42050645849223	6.54911031484217	6.65344168088543	6.83942362614179	6.55292778200799	7.05602921184787	6.48408514987799	6.95047718815094
KRTAP4-7	3.78415722449742	4.07802247428816	3.94407306457248	4.02098640018928	4.0937132598575	4.01174639766957	4.22252091140911	3.9723842243674	3.56699513395231	4.00397665949984	4.18941650619699	4.22528500484297	3.82177942498721	3.92806587550614	3.98682980514584	4.15944509135033	4.28926323473941	4.30027094871094	3.81564280397623	3.68537984371726	3.37756892477919	3.92120204230278	3.95934253365493	3.96786942125699	3.87425673764438	3.89568697855181	3.8260999076636	3.87180698882782	3.68180317180478	3.89298265931083	3.45939742280087	3.27651145325088	3.75663105233817	4.13750624745162	3.73061054244015	4.11897441240892	3.74059495809195	3.69798950844548	3.8940440602412	3.61381569857216
CD24	9.81860433962399	9.86795801294762	10.0039725225887	9.54514017971836	9.98725021125136	10.3084617775708	10.3185041221096	9.75714857435248	9.13113310035341	10.0225207584284	10.3071613681202	9.74042444440805	9.59528773906685	10.2614743493363	9.27628794460521	10.4194151508103	10.2814390725383	10.5786617227275	9.97257902751855	9.80841865489064	8.72645999776139	9.500217927021	9.62593676569053	9.59553854543088	10.2791628251586	9.26530166955518	9.21967888375545	9.15679598982507	9.60204863149661	9.67337456779093	8.70413542322935	9.34990506821904	9.57850897320327	10.167051820464	8.74908536589774	10.4122915564306	9.34338086290493	10.5548256216443	10.0845392527333	9.78876302999247
NDUFB2-AS1	5.62923416086197	5.60262666440731	5.64572192185993	5.5982800067741	5.53463129210287	5.76763377308758	5.52423863885221	5.49807367627897	5.61969929496384	5.71553797629148	5.56951211555899	5.41149176184279	5.462357219953	5.81613530299096	5.38844618692027	5.58223125111845	5.68747854432749	5.87813005416839	5.43372225171161	5.22158091761336	5.45691033634703	5.66484055258458	5.44040296624241	5.35777679102411	5.40733898590571	5.27442782256192	5.36459372912395	5.5428686934468	5.57014343677081	5.58925252368327	5.46709017246338	5.3190833042742	5.2800488608511	5.8205734350406	5.903808570598	5.29992132536908	5.40120998060071	5.82769929863408	5.61717568081737	5.39992939281399
HDAC6	8.4626918869395	8.03762113277375	8.49278028227548	8.11897724397864	8.12468842069808	8.20952462738228	8.05889714652678	8.39423621299044	8.48383219781502	8.24360983688494	8.33137126926175	8.1310231282697	8.22431420351978	8.15289683969302	8.00887623003817	8.21555919015368	8.04616437587451	8.040755507722	7.81425729207709	7.87671184427654	8.14337830747962	7.71221068440724	7.80554716749822	7.77488613161967	7.87784694304559	7.93489637888115	7.80291749035476	7.77524340604525	7.95769657010925	8.16068114563343	8.2024440072815	8.19854454460386	7.83600837224175	8.0261365508722	8.0365847804014	7.8688737097025	7.90820445605379	8.0372515010779	8.17348156774188	8.1870398336151
HDAC5	7.6596370981973	7.36531607962204	7.33134367880902	7.1769694330183	7.2744251857748	7.32448735319457	7.3474928231426	7.26028195996844	7.39981099293621	7.64525742854431	7.4127714602518	8.1363378920353	7.14892236455594	7.63240139232418	7.36014759773677	7.30133260951383	7.03893496507544	6.90941781083191	7.64541790264319	8.08720196482546	7.8712767279216	7.86596858224939	7.67524566697573	7.99611689234337	7.75054319008935	7.81551322627996	7.70090611223615	7.59930166041287	7.48561099476674	7.61351429107372	8.03820185995092	7.88032252202778	7.45698917635487	8.07400618514153	7.98847197951995	7.68922085693009	7.83705117869682	7.66612207219289	8.063872306909	7.76532626549722
PDCD6IP	10.0008890219812	9.99321500369376	9.91832383539927	9.90817341377386	9.89658121470156	9.95525524846151	9.91874086252091	10.0344436794148	10.174046750958	9.91934406066618	9.80885290772367	9.93652841221878	10.164223795667	10.0243900925296	10.0128709815435	9.83843988163473	9.86708648068843	9.8724035224109	10.1059998052635	10.0876015549507	10.3783433897278	10.1370658236182	9.96202149263971	10.0943301239488	9.9279543503414	10.0000087658935	10.0535799285752	10.2179670657742	10.1694531822005	10.0058481732958	10.0141522298025	10.3329028455226	10.0964534593272	9.95492874948253	10.023054657614	10.0251400312244	10.0545031594773	10.2154191427512	10.0927413638763	10.2997253745027
PDCD6	10.2644224865752	10.2924667380422	10.043242299667	10.1672213555501	10.0691785671076	10.068756349221	10.0487130225736	10.3067640601792	10.3079815030428	10.0322597817141	9.76442751674303	10.0836663100858	10.0781894134819	9.98870798485939	9.9371505541071	9.87986429691583	10.1452918901003	10.1570395610888	10.142845524419	10.305309868223	10.4172757601476	10.101934439021	10.0128322965703	10.293838449611	10.0730413987499	10.4095957128958	10.039942516716	10.2310016060925	10.2348808307696	10.3811588499731	10.3782802494867	10.4526565380016	10.1868642442253	10.2916121208321	10.4357031812144	10.1104382116134	10.318605302025	10.0449629157623	10.2558892769714	10.4609252305218
BCL2L10	5.15328273163066	5.26897144298257	5.09182250024671	5.12880820601536	5.38540901665264	5.44172404993609	5.35196086743013	5.10767476405545	4.90589161971089	5.414474729689	5.35433366863493	5.17522142108589	5.12241893122153	5.28885830045861	5.18176439328652	5.36458917584259	5.39129621659505	5.58284201784717	5.0265095671515	5.0127953009322	4.71440825074404	5.13293569867388	5.14575188797292	4.98799810576721	5.12116952164001	4.76815237137963	4.85512126826758	4.87667813596087	4.71212575648764	5.04985679265613	4.69562515894135	4.54818171177706	4.75958155763932	5.11132547070666	4.72167192696261	5.08723950673565	4.85831875568557	5.07510045736567	4.931804099794	4.68908980679869
BCL2L11	4.92229448211065	5.20646534344496	5.10849135439751	5.1957232766929	5.42761817599805	5.25323264175313	5.30032203786916	5.10042972305103	4.75425638179888	5.21443845481292	5.23921946636336	5.04097885564958	5.05533773466667	5.06502737366126	5.26228970238668	5.48496477993164	5.19121779223486	5.26784466702021	5.07937334951949	5.14088748785189	4.70837330225176	5.07677592041655	5.06444239179096	5.13214333185273	5.20723516897073	5.07430831391631	5.00538949639907	5.04071884912899	4.92881596842286	4.94574829392014	4.64751237610474	4.59009849387353	4.91690539498848	5.08572898569852	4.80179877231644	5.0506283254206	4.91287735585348	4.99766209574849	5.04867365137926	4.72587490484201
